Name,Url,Description,Chains,Twitter,TVL,Chain TVLs,Category
AAVE V3,https://aave.com,"Earn interest, borrow assets, and build applications","['Ethereum', 'Polygon', 'Arbitrum', 'Avalanche', 'Optimism', 'Base', 'Metis', 'Fantom', 'Harmony']",AaveAave,2232500806.772132,"{'Optimism': 74444345.34964894, 'Metis': 819589.9664946864, 'Harmony': 0, 'Harmony-borrowed': 671943.6710466336, 'Ethereum': 1719092788.975949, 'Avalanche': 135790735.02867946, 'Ethereum-borrowed': 986191922.1275115, 'Arbitrum': 147490854.05489758, 'borrowed': 1285755021.733857, 'Fantom': 63898.07266978246, 'Arbitrum-borrowed': 100026279.14039233, 'Polygon-borrowed': 82378296.28510855, 'Metis-borrowed': 196233.6853900743, 'Base': 1343916.533163733, 'Fantom-borrowed': 11146.383499322414, 'Base-borrowed': 824258.3552020406, 'Optimism-borrowed': 46471386.66789943, 'Polygon': 153454678.7906287, 'Avalanche-borrowed': 68983555.41780707}",Lending
Uniswap V3,https://uniswap.org/,"A fully decentralized protocol for automated liquidity provision on Ethereum. V2
","['Ethereum', 'Arbitrum', 'Polygon', 'Optimism', 'Celo', 'Base', 'Binance', 'Avalanche']",Uniswap,2192756402.9115458,"{'Optimism': 41171291.88904075, 'Base': 15826791.271221725, 'Binance': 11037767.887253748, 'Ethereum': 1824598409.7047198, 'Avalanche': 2926079.35289194, 'Polygon': 75119403.73224157, 'Celo': 16592429.283845518, 'Arbitrum': 205484229.7903306}",Dexes
Curve DEX,https://curve.fi,Curve is a decentralized exchange liquidity pool on Ethereum designed for extremely efficient stablecoin trading,"['Ethereum', 'Polygon', 'Arbitrum', 'Base', 'Celo', 'xDai', 'Optimism', 'Avalanche', 'Kava', 'Fantom', 'Moonbeam', 'Aurora', 'Harmony']",CurveFinance,2072419294.4120052,"{'Optimism': 12591487.693016067, 'Kava': 12165105.556368783, 'Harmony': 0, 'Base': 24240971.38123302, 'Moonbeam': 358678.32441148977, 'Ethereum': 1915488147.2438576, 'Aurora': 17055.7998092552, 'xDai': 13018311.3950528, 'Avalanche': 12370172.50421776, 'Ethereum-staking': 333919043.20048106, 'Polygon': 29155980.609148085, 'Celo': 21234977.35483211, 'Arbitrum': 29049860.463929877, 'Fantom': 2728546.0861282176, 'staking': 333919043.20048106}",Dexes
Convex Finance,https://www.convexfinance.com/,Convex simplifies your Curve-boosting experience to maximize your yields.,"['Ethereum', 'Arbitrum', 'Polygon']",ConvexFinance,1862249029.9992292,"{'Ethereum': 1853042792.4643457, 'Polygon': 518020.1528774699, 'Ethereum-staking': 156359144.96306983, 'Arbitrum': 8688217.382006068, 'staking': 156359144.96306983}",Yield
PancakeSwap AMM,https://pancakeswap.finance/,The #1 AMM and yield farm on Binance Smart Chain,"['Binance', 'Aptos', 'Ethereum', 'Arbitrum', 'zkSync Era', 'Base', 'Polygon zkEVM', 'Linea']",PancakeSwap,1071539576.1969365,"{'Polygon zkEVM': 1440.1660333133573, 'Aptos': 13632959.911305359, 'Base': 19317.696548827174, 'Binance': 1055746050.5226437, 'Ethereum': 1107548.426758889, 'zkSync Era': 155814.20807649512, 'Binance-staking': 277425988.59109855, 'Linea': 274.5986005850616, 'Ethereum-staking': 316391.154475899, 'Arbitrum': 876170.6669694035, 'staking': 277742379.7455745}",Dexes
Compound V3,https://v3-app.compound.finance/,"Compound is an algorithmic, autonomous interest rate protocol built for developers, to unlock a universe of open financial applications.","['Ethereum', 'Polygon', 'Base', 'Arbitrum']",compoundfinance,730235124.3157327,"{'Arbitrum-borrowed': 3273705.0874203076, 'Polygon-borrowed': 17748929.804844, 'Base': 21315364.349858094, 'Base-borrowed': 7636747.698698193, 'Ethereum': 660738021.783251, 'Polygon': 39197622.7111604, 'Ethereum-borrowed': 322822659.2536136, 'Arbitrum': 8984115.471463192, 'borrowed': 351482041.8445761}",Lending
Balancer V2,https://balancer.finance/,Balancer is a protocol for programmable liquidity.,"['Ethereum', 'Arbitrum', 'Polygon', 'xDai', 'Base', 'Avalanche', 'Polygon zkEVM']",BalancerLabs,634973326.5756785,"{'Polygon zkEVM': 4253799.264892002, 'Base': 8762136.570357123, 'Ethereum': 462306193.14540863, 'xDai': 29775706.779350393, 'Avalanche': 8345872.305883413, 'Polygon': 35250751.2551258, 'Arbitrum': 86278867.25466111}",Dexes
GMX V1,https://gmx.io/,"GMX is a decentralized spot and perpetual exchange that supports low swap fees and zero price impact trades. Trading is supported by a unique multi-asset pool that earns liquidity providers fees from market making, swap fees, leverage trading (spreads, funding fees & liquidations) and asset rebalancing.","['Arbitrum', 'Avalanche']",GMX_IO,448827832.0340063,"{'Avalanche': 56348806.54466904, 'Avalanche-staking': 10138190.04, 'Arbitrum-staking': 223345598.51999998, 'Arbitrum': 392479025.48933727, 'staking': 233483788.55999997}",Derivatives
Stargate,https://stargate.finance/,"Stargate is a fully composable liquidity transport protocol that lives at the heart of Omnichain DeFi. With Stargate, users & dApps can transfer native assets cross-chain while accessing the protocol’s unified liquidity pools with instant guaranteed finality.","['Arbitrum', 'Ethereum', 'Binance', 'Avalanche', 'Polygon', 'Base', 'Optimism', 'Metis', 'Fantom', 'Kava', 'Goerli']",StargateFinance,383937474.7688005,"{'Optimism': 16485487.493973786, 'Metis': 4099569.3703805073, 'Kava': 1494476.2814575555, 'Goerli': 31578.839656994518, 'Base': 27107380.652170107, 'Binance': 82072435.94237022, 'Ethereum': 83350655.37789108, 'Avalanche': 45608408.061962105, 'Polygon': 34879173.330688305, 'Arbitrum': 85377938.58796412, 'Fantom': 3430370.8302857247}",Cross Chain
Yearn Finance,https://yearn.finance/,"Yearn.finance is an aggregator service for decentralized finance (DeFi) investors, using automation to allow them to maximize profits from yield farming.","['Ethereum', 'Optimism', 'Fantom', 'Arbitrum']",iearnfinance,363995464.1357292,"{'Optimism': 21576395.388931826, 'Ethereum': 340111010.35415345, 'Arbitrum': 94250.01558386417, 'Fantom': 2213808.3770600385}",Yield Aggregator
