Name,Url,Description,Chains,Twitter,TVL,Chain TVLs,Category
Uniswap V3,https://uniswap.org/,"A fully decentralized protocol for automated liquidity provision on Ethereum. V2
","['Ethereum', 'Arbitrum', 'Polygon', 'Optimism', 'Celo', 'Base', 'Binance', 'Avalanche']",Uniswap,2192756402.9115458,"{'Optimism': 41171291.88904075, 'Base': 15826791.271221725, 'Binance': 11037767.887253748, 'Ethereum': 1824598409.7047198, 'Avalanche': 2926079.35289194, 'Polygon': 75119403.73224157, 'Celo': 16592429.283845518, 'Arbitrum': 205484229.7903306}",Dexes
Curve DEX,https://curve.fi,Curve is a decentralized exchange liquidity pool on Ethereum designed for extremely efficient stablecoin trading,"['Ethereum', 'Polygon', 'Arbitrum', 'Base', 'Celo', 'xDai', 'Optimism', 'Avalanche', 'Kava', 'Fantom', 'Moonbeam', 'Aurora', 'Harmony']",CurveFinance,2072419294.4120052,"{'Optimism': 12591487.693016067, 'Kava': 12165105.556368783, 'Harmony': 0, 'Base': 24240971.38123302, 'Moonbeam': 358678.32441148977, 'Ethereum': 1915488147.2438576, 'Aurora': 17055.7998092552, 'xDai': 13018311.3950528, 'Avalanche': 12370172.50421776, 'Ethereum-staking': 333919043.20048106, 'Polygon': 29155980.609148085, 'Celo': 21234977.35483211, 'Arbitrum': 29049860.463929877, 'Fantom': 2728546.0861282176, 'staking': 333919043.20048106}",Dexes
Uniswap V2,https://uniswap.org/,"A fully decentralized protocol for automated liquidity provision on Ethereum. V2
",['Ethereum'],Uniswap,1130965742.447904,{'Ethereum': 1130965742.447904},Dexes
PancakeSwap AMM,https://pancakeswap.finance/,The #1 AMM and yield farm on Binance Smart Chain,"['Binance', 'Aptos', 'Ethereum', 'Arbitrum', 'zkSync Era', 'Base', 'Polygon zkEVM', 'Linea']",PancakeSwap,1071539576.1969365,"{'Polygon zkEVM': 1440.1660333133573, 'Aptos': 13632959.911305359, 'Base': 19317.696548827174, 'Binance': 1055746050.5226437, 'Ethereum': 1107548.426758889, 'zkSync Era': 155814.20807649512, 'Binance-staking': 277425988.59109855, 'Linea': 274.5986005850616, 'Ethereum-staking': 316391.154475899, 'Arbitrum': 876170.6669694035, 'staking': 277742379.7455745}",Dexes
Balancer V2,https://balancer.finance/,Balancer is a protocol for programmable liquidity.,"['Ethereum', 'Arbitrum', 'Polygon', 'xDai', 'Base', 'Avalanche', 'Polygon zkEVM']",BalancerLabs,634973326.5756785,"{'Polygon zkEVM': 4253799.264892002, 'Base': 8762136.570357123, 'Ethereum': 462306193.14540863, 'xDai': 29775706.779350393, 'Avalanche': 8345872.305883413, 'Polygon': 35250751.2551258, 'Arbitrum': 86278867.25466111}",Dexes
SUNSwap V1,https://sunswap.com/#/home,SUNSwap V1 is a TRON-based decentralized trading protocol for automated liquidity provision and an open financial market accessible to all.,['Tron'],DeFi_JUST,378809622.0386379,{'Tron': 378809622.0386379},Dexes
PancakeSwap AMM V3,https://pancakeswap.finance/swap,PancakeSwap V3: A More Efficient and User-Friendly DEX on BNB Chain,"['Binance', 'Ethereum', 'zkSync Era', 'Arbitrum', 'Base', 'Linea', 'Polygon zkEVM']",PancakeSwap,304177355.54279727,"{'Polygon zkEVM': 434559.12129505357, 'Base': 548265.7636241391, 'Binance': 242140644.89690882, 'Ethereum': 56221368.23366637, 'zkSync Era': 3018809.8699935586, 'Linea': 443541.2166350066, 'Arbitrum': 1370166.44067431}",Dexes
SushiSwap,https://sushi.com/,"A fully decentralized protocol for automated liquidity provision on Ethereum.
","['Ethereum', 'Arbitrum', 'Polygon', 'xDai', 'Arbitrum Nova', 'Boba', 'Celo', 'Binance', 'Avalanche', 'Harmony', 'Fantom', 'Moonriver', 'Boba_Bnb', 'Fuse', 'Boba_Avax', 'OKExChain', 'Heco', 'Telos', 'Palm']",SushiSwap,276467555.35373354,"{'Moonriver': 224772.5681781868, 'Harmony': 443026.055607928, 'Binance': 795401.300553714, 'Ethereum': 214096927.88260958, 'xDai': 2581208.114235191, 'Heco': 3439.6502899165466, 'Avalanche': 644274.148583912, 'Ethereum-staking': 14908598.332674228, 'Telos': 561.6811534173539, 'Celo': 819160.7615951209, 'Arbitrum': 37044554.12951822, 'Fuse': 31590.677125185448, 'Fantom': 356716.9578270878, 'staking': 14908598.332674228, 'OKExChain': 18030.430064793854, 'Arbitrum Nova': 1644102.8912414971, 'Boba_Bnb': 101244.32800994013, 'Palm': 511.06131361665945, 'Boba_Avax': 24286.344550368354, 'Boba': 821794.1766811078, 'Polygon': 16815952.194594763}",Dexes
Aerodrome,https://aerodrome.finance/,A central trading and liquidity marketplace on Base.,['Base'],aerodromefi,168940149.5076884,{'Base': 168940149.5076884},Dexes
Chainge Finance,https://www.chainge.finance,"Chainge Finance stands as the most liquid cross-chain aggregated DEX with over 70bn in aggregated liquidity. The mobile app boasts over 20 integrated DEXs and 29 chains. From a cross-chain wallet and instant cross-chain roaming to decentralized earning solutions and smart escrow contracts, Chainge is an DeFi app powered and secured by the innovative Fusion DCRM tech",['Fusion'],FinanceChainge,157811486.9457018,{'Fusion': 157811486.9457018},Dexes
Velodrome V2,https://app.velodrome.finance,A revolutionary new AMM based on Solidly launched on Optimism.,['Optimism'],VelodromeFi,143226384.50405458,{'Optimism': 143226384.50405458},Dexes
SUNSwap V2,https://sunswap.com/#/home,SUNSwap V2 is a TRON-based decentralized trading protocol for automated liquidity provision and an open financial market accessible to all.,['Tron'],DeFi_JUST,129081132.76798618,{'Tron': 129081132.76798618},Dexes
VVS Finance,https://vvs.finance,"VVS is designed to be the simplest DeFi platform for users to swap tokens, earn high yields, and most importantly have fun!",['Cronos'],VVS_finance,126212150.4871431,{'Cronos': 126212150.4871431},Dexes
Thorchain,https://thorchain.com/,THORChain facilitates cross-chain liquidity pools with no pegged or wrapped tokens.,"['Thorchain', 'Ethereum', 'Bitcoin', 'Binance', 'Litecoin', 'Doge', 'Bitcoincash', 'Avalanche', 'Cosmos']",THORChain,112943022.81534445,"{'Litecoin': 1305140.64352452, 'Bitcoincash': 943886.3413862959, 'Cosmos': 577329.5843738583, 'Thorchain-staking': 148101116.2905146, 'Thorchain': 58430806.04954271, 'Binance': 5088156.783255698, 'Ethereum': 22503877.347497344, 'Avalanche': 789126.2857581144, 'Doge': 1157281.9832549118, 'staking': 148101116.2905146, 'Bitcoin': 22147417.796751}",Dexes
DefiChain DEX,https://defichain.com/dex,"Swap between DFI and wrapped tokens in a completely decentralized, exchange.",['DefiChain'],defichain,104797303.62957974,{'DefiChain': 104797303.62957974},Dexes
PulseX V1,https://app.pulsex.com/swap,"PulseX enables you to exchange tokens (""PRC20s"") on PulseChain for one another",['Pulse'],PulseXcom,95436896.48105282,{'Pulse': 95436896.48105282},Dexes
Loopring,https://loopring.org/#/,Loopring is a zkRollup Exchange and Payment Protocol.,['Ethereum'],loopringorg,94047348.22097258,{'Ethereum': 94047348.22097258},Dexes
Balancer V1,https://balancer.finance/,"Balancer is a protocol for programmable liquidity.


",['Ethereum'],BalancerLabs,93340784.19827604,{'Ethereum': 93340784.19827604},Dexes
Osmosis DEX,https://osmosis.zone/,Osmosis DEX is the advanced automated market maker (AMM) protocol at the core of the Osmosis blockchain.,['Osmosis'],osmosiszone,84594879.09373501,{'Osmosis': 84594879.09373501},Dexes
KlaySwap,https://klayswap.com/dashboard,KLAYswap is an AMM-based Instant Swap Protocol,['Klaytn'],KLAYswap,74860460.26357077,"{'Klaytn-staking': 23924987.410181027, 'Klaytn': 74860460.26357077, 'staking': 23924987.410181027}",Dexes
BiSwap V2,https://biswap.org/,Biswap is a trusted DEX platform on the BNB Chain network with a Multi-type Referral Program and low trade fee starting from 0.1%. Biswap is the ecosystem that offers the best service and creates new standards in the DeFi industry,['Binance'],Biswap_Dex,66623564.43768476,"{'Binance': 66623564.43768476, 'Binance-staking': 17608089.33081326, 'staking': 17608089.33081326}",Dexes
Frax Swap,https://app.frax.finance/swap/main,Fraxswap is the first constant product automated market maker with an embedded time-weighted average market maker (TWAMM) for conducting large trades over long periods of time trustlessly. It is fully permissionless and the core AMM is based on Uniswap V2.,"['Ethereum', 'Arbitrum', 'Polygon', 'Avalanche', 'Fantom', 'Moonbeam', 'Binance', 'Dogechain']",fraxfinance,63681617.86600702,"{'Moonbeam': 1226221.4971143054, 'Binance': 1091104.0407935735, 'Dogechain': 223580.77324038197, 'Ethereum': 54046619.15395265, 'Avalanche': 1471664.8923842625, 'Polygon': 1935286.93975535, 'Arbitrum': 2284298.0009005684, 'Fantom': 1402842.5678659328}",Dexes
PearlFi,https://www.pearl.exchange,"Polygon's premiere ve(3,3) exchange with deep liquidity for tokenized RWAs and premium digital assets.",['Polygon'],PearlFi_,63280615.09530051,{'Polygon': 63280615.09530051},Dexes
Katana DEX,https://katana.roninchain.com/#/swap,Katana a DEX For Ronin,['Ronin'],AxieInfinity,63200798.589446194,{'Ronin': 63200798.589446194},Dexes
SyncSwap,https://syncswap.xyz/,SyncSwap is a decentralized exchange (DEX) on zkSync Era ,"['zkSync Era', 'Linea']",syncswap,58147939.576860204,"{'zkSync Era': 55834744.49654997, 'Linea': 2313195.0803102306}",Dexes
4Swap,https://pando.im,Pando is a set of open financial protocols which includes 3 major protocols: 1.Pando Lake/4swap: a decentralized protocol for automated liquidity provision built with the Mixin Trusted Group. 2.Pando Leaf: a decentralized financial network to minting stablecoins. 3.Pando Rings: a decentralized protocol where you can lend or borrow cryptocurrencies,['Mixin'],pando_im,57502511.43203595,{'Mixin': 57502511.43203595},Dexes
Quickswap Dex,https://quickswap.exchange/,AMM,['Polygon'],QuickswapDEX,53885647.09883529,{'Polygon': 53885647.09883529},Dexes
SUN.io,https://sun.io,"First integrated platform for stablecoin swap, stake-mining, and self-governance on TRON",['Tron'],defi_sunio,49961481.23795125,"{'Tron': 49961481.23795125, 'Tron-staking': 6108088.327443822, 'staking': 6108088.327443822}",Dexes
Quickswap V3,https://quickswap.exchange/,"QuickSwap is a decentralized exchange that runs on Polygon Network to offer cheaper and faster transactions. Its automated market maker integrates upgradeable smart contracts on Ethereum and renders intermediaries obsolete. The exchange is based on open-source software and prioritizes decentralization, censorship resistance and security. It benefits from ultra-low gas prices compared to Ethereum, as well as fast and simple trading execution","['Polygon', 'Polygon zkEVM', 'Dogechain']",QuickswapDEX,48602836.58531992,"{'Dogechain': 975549.2115988869, 'Polygon zkEVM': 6240040.189391564, 'Polygon': 41387247.18432947}",Dexes
Joe V2.1,https://traderjoexyz.com/arbitrum/trade,"Joe V2.1 is an optimized protocol that supports all router and quoter versions, enhancing gas efficiency, events, functions, and providing better transfer options across pair versions","['Arbitrum', 'Avalanche', 'Binance', 'Ethereum']",traderjoe_xyz,48078029.83887346,"{'Arbitrum-staking': 10340429.588382864, 'Binance': 1331123.2642229004, 'Ethereum': 1001547.5298015367, 'Avalanche': 21104308.283078853, 'Arbitrum': 24641050.76177017, 'staking': 10340429.588382864}",Dexes
Bancor V3,https://app.bancor.network/,"Bancor is an on-chain liquidity protocol that enables automated, decentralized exchange on Ethereum and across blockchains.",['Ethereum'],Bancor,46942726.89633878,{'Ethereum': 46942726.89633878},Dexes
Camelot V2,https://camelot.exchange/,"Camelot is an ecosystem-focused and community-driven DEX built on Arbitrum. It has been built as a highly efficient and customizable protocol, allowing both builders and users to leverage our custom infrastructure for deep, sustainable, and adaptable liquidity. Camelot moves beyond the traditional design of DEXs to focus on offering a tailored approach that prioritises composability",['Arbitrum'],CamelotDEX,44830851.76827744,{'Arbitrum': 44830851.76827744},Dexes
KyberSwap Elastic,https://kyberswap.com/#/swap,KyberSwap is both a decentralized exchange (DEX) aggregator and a liquidity source with capital-efficient liquidity pools that earns fees for liquidity providers,"['Arbitrum', 'Optimism', 'Polygon', 'Linea', 'Ethereum', 'Binance', 'Avalanche', 'Fantom', 'Cronos']",KyberNetwork,42169297.30402483,"{'Optimism': 11666096.397883544, 'Cronos': 3167.990375550315, 'Binance': 1149554.578602369, 'Ethereum': 1995813.5532872607, 'Linea': 2870712.9400238465, 'Avalanche': 1032095.2548940117, 'Polygon': 7385907.943241782, 'Arbitrum': 16028978.91375388, 'Fantom': 36969.731962582286}",Dexes
